Свойство	Значение	Тип
ЭтаФорма	УправляемаяФорма	УправляемаяФорма
АвтоЗаголовок	Истина	Булево
АвтоНавигационнаяСсылка	Истина	Булево
АвтоматическоеСохранениеДанныхВНастройках	Не использовать	АвтоматическоеСохранениеДанныхФормыВНастройках
ВертикальнаяПрокрутка	Авто	ВертикальнаяПрокруткаФормы
ВертикальноеПоложениеПодчиненных	Авто	ВертикальноеПоложениеЭлемента
ВертикальныйИнтервал	Авто	ИнтервалМеждуЭлементамиФормы
ВладелецФормы	Свойство недоступно на сервере	
ВыравниваниеЭлементовИЗаголовков	Авто	ВариантВыравниванияЭлементовИЗаголовков
Высота	0	Число
ГоризонтальноеПоложениеПодчиненных	Авто	ГоризонтальноеПоложениеЭлемента
ГоризонтальныйИнтервал	Авто	ИнтервалМеждуЭлементамиФормы
Группировка	Вертикальная	ГруппировкаПодчиненныхЭлементовФормы
Доступность	Истина	Булево
Заголовок	""	Строка
ЗакрыватьПриВыборе	Истина	Булево
ЗакрыватьПриЗакрытииВладельца	Ложь	Булево
ИмяФормы	"ОбщаяФорма.ПустаяФорма"	Строка
КлючНазначенияИспользования	""	Строка
КлючСохраненияПоложенияОкна	""	Строка
КлючУникальности	Свойство недоступно на сервере	
КоманднаяПанель	ГруппаФормы	ГруппаФормы
Команды	КомандыФормы	КомандыФормы
Масштаб	100	Число
МодальныйРежим	Свойство недоступно на сервере	
Модифицированность	Ложь	Булево
НавигационнаяСсылка	""	Строка
Окно	Свойство недоступно на сервере	
ОписаниеОповещенияОЗакрытии	Свойство недоступно на сервере	
ОтображатьЗаголовок	Истина	Булево
ОтображатьКнопкуЗакрытия	Истина	Булево
ОтображениеОбсуждений	Авто	ОтображениеОбсужденийФормы
Параметры	ДанныеФормыСтруктура	ДанныеФормыСтруктура
ПоведениеКлавишиEnter	Переход по элементам формы	ТипПоведенияКлавишиEnter
ПодчиненныеЭлементы	ЭлементыФормы	ЭлементыФормы
ПоложениеКоманднойПанели	Авто	ПоложениеКоманднойПанелиФормы
ПроверятьЗаполнениеАвтоматически	Истина	Булево
РежимОткрытияОкна	Независимый	РежимОткрытияОкнаФормы
СворачиваниеЭлементовПоВажности	Авто	СворачиваниеЭлементовФормыПоВажности
СохранениеДанныхВНастройках	Не использовать	СохранениеДанныхФормыВНастройках
СохраняемыеВНастройкахДанныеМодифицированы	Ложь	Булево
ТекущийЭлемент	ОсновнойЭлементФормы	ОсновнойЭлементФормы
ТолькоПросмотр	Ложь	Булево
УникальныйИдентификатор	52509e92-09ce-11e9-649b-902b34695585	УникальныйИдентификатор
УсловноеОформление		УсловноеОформлениеКомпоновкиДанных
Ширина	0	Число
ШиринаПодчиненныхЭлементов	Авто	ШиринаПодчиненныхЭлементовФормы
Элементы	ВсеЭлементыФормы	ВсеЭлементыФормы
ЭтаФорма	УправляемаяФорма	УправляемаяФорма
ЭтотОбъект	УправляемаяФорма	УправляемаяФорма
